pipe_age,water_usage,rainfall,appliance_count,daily_usage,wiring_age,gas_appliances,pipe_condition,internet_devices,speed_plan,household_size,recycling_score,maintenance_cost
8,213.21,79.59,10,9.4,28,3,9,8,Standard,6,8,188.87
13,168.37,28.72,8,8.6,1,2,6,14,Basic,4,9,105.26
14,265.01,137.64,10,22.6,11,8,1,2,Basic,5,9,182.97
28,418.06,192.66,7,8.6,26,7,10,13,Premium,1,4,240.27
5,326.78,272.74,2,5.8,2,6,2,4,Standard,7,6,114.89
9,330.52,176.09,15,3.3,16,3,9,3,Basic,6,6,192.48
26,71.27,166.89,18,6.4,39,2,9,13,Standard,6,4,217.68
4,450.4,111.42,19,3.3,19,7,9,3,Premium,6,5,258.4
6,203.6,154.17,10,13.7,12,9,6,6,Basic,7,1,205.78
15,454.45,32.0,11,12.0,26,8,9,10,Standard,5,4,261.3
17,108.42,265.3,2,11.5,39,1,6,14,Standard,3,8,109.59
5,292.53,256.68,10,23.4,29,2,4,11,Basic,2,9,137.55
15,474.63,127.41,11,14.5,29,3,8,3,Standard,1,9,198.15
22,215.91,31.5,19,17.9,16,1,4,10,Premium,4,8,213.74
21,303.5,295.18,2,2.0,12,2,4,5,Premium,4,5,150.42
21,190.68,198.41,7,16.7,5,0,8,9,Standard,6,4,151.54
5,403.24,23.39,2,19.8,32,5,10,4,Basic,4,10,193.44
21,485.37,146.25,19,23.0,37,5,7,3,Basic,5,3,307.07
21,148.83,234.23,10,9.8,31,9,3,1,Basic,4,5,188.29
22,253.54,89.81,16,12.5,29,2,4,14,Premium,2,8,198.9
24,336.49,58.56,10,2.1,12,0,6,3,Standard,3,3,207.7
28,183.43,142.08,11,2.8,16,1,7,13,Standard,1,2,144.46
29,232.89,154.77,1,11.5,4,8,3,5,Premium,7,7,186.99
25,348.94,237.89,12,17.2,4,0,3,13,Premium,3,8,169.93
24,156.49,34.42,8,10.4,2,7,10,10,Basic,7,10,156.32
19,202.02,10.09,10,7.1,4,5,9,11,Standard,6,6,170.23
14,233.03,218.39,1,22.1,9,9,3,13,Premium,4,1,138.59
27,475.27,151.36,1,8.0,7,5,2,8,Standard,4,4,248.73
19,402.87,183.74,10,8.6,28,0,8,13,Premium,5,1,277.81
3,385.65,291.1,11,11.1,25,7,4,13,Standard,6,10,196.63
